MarkettypeID	TradingDate	Portfolios	RiskPremium1	RiskPremium2	SMB1	SMB2	HML1	HML2	RMW1	RMW2	CMA1	CMA2
P9709	2018-04-27	1	.002969	.002969	-.001730	-.002407	.003379	.003429	.003004	.003353	.000066	-.000627
P9709	2018-04-27	2	.002969	.002969	-.002116	-.002695	.003094	.002722	.000627	.000722	.001699	.001069
P9709	2018-04-27	3	.002969	.002969	-.000218	-.000580	.004514	.004040	.001022	.001944	-.001180	-.001170
P9709	2018-04-26	1	-.016031	-.017031	-.002220	-.002200	.005462	.006265	.000660	.000589	.001468	.000748
P9709	2018-04-26	2	-.016031	-.017031	-.002707	-.002733	.005568	.006025	.000744	.001039	-.000028	-.000462
P9709	2018-04-26	3	-.016031	-.017031	-.001446	-.001487	.003364	.003568	.000911	.001334	.001124	.000665
P9709	2018-04-25	1	-.003031	-.002031	.008231	.008648	-.007849	-.007461	-.001383	-.000358	-.001362	-.001285
P9709	2018-04-25	2	-.003031	-.002031	.008705	.008984	-.005195	-.004893	-.001664	-.001053	.000913	.000525
P9709	2018-04-25	3	-.003031	-.002031	.005637	.005768	-.003332	-.003156	-.002155	-.002012	-.001471	-.001440
P9709	2018-04-24	1	.020969	.021969	.000657	.001232	-.002304	-.002340	.002545	.004483	-.002290	-.001648
P9709	2018-04-24	2	.020969	.021969	.001094	.001529	-.001207	-.001582	.002407	.003317	-.001601	-.001453
P9709	2018-04-24	3	.020969	.021969	.000654	.000375	-.001393	-.001676	.000781	.000697	-.003071	-.002906
P9709	2018-04-23	1	-.002031	-.003031	-.004926	-.005013	.008032	.006874	-.001548	-.001676	.004260	.004675
P9709	2018-04-23	2	-.002031	-.003031	-.004943	-.005001	.007009	.006408	-.000891	-.000649	-.000278	.000601
P9709	2018-04-23	3	-.002031	-.003031	-.001913	-.002134	.006805	.005854	-.000671	-.000915	.001211	.001874
P9709	2018-04-20	1	-.015031	-.017031	-.006005	-.005306	.001413	.001505	.003763	.004356	-.004300	-.005217
P9709	2018-04-20	2	-.015031	-.017031	-.006525	-.005877	.002238	.002759	.001320	.002142	-.004822	-.005293
P9709	2018-04-20	3	-.015031	-.017031	-.004643	-.004505	.001333	.001639	.000517	.000666	-.002426	-.003044
P9709	2018-04-19	1	.008969	.007969	-.007717	-.007372	-.002971	-.003557	.002944	.003127	.001741	.001424
P9709	2018-04-19	2	.008969	.007969	-.007713	-.007504	-.002431	-.002595	.002350	.001798	.002156	.001890
P9709	2018-04-19	3	.008969	.007969	-.006854	-.006262	-.000046	.000195	.003017	.003598	.002171	.002014
P9709	2018-04-18	1	.008969	.009969	.004351	.004931	.001164	.000185	-.003408	-.004306	.000582	.000116
P9709	2018-04-18	2	.008969	.009969	.004702	.005230	.001761	.000969	-.000435	-.001211	-.000586	-.000709
P9709	2018-04-18	3	.008969	.009969	.005296	.005084	-.000479	-.000649	-.002203	-.003291	-.000316	-.001276
P9709	2018-04-17	1	-.016031	-.017031	-.006516	-.006314	.010786	.011064	.002047	.001211	.007776	.007072
