MarkettypeID	TradingDate	RiskPremium1	RiskPremium2	SMB1	SMB2	HML1	HML2
P9705	2018-04-27	.008969	.006969	-.009342	-.009919	.002386	.000549
P9706	2018-04-27	.002969	.002969	-.000794	-.001375	.004685	.004871
P9707	2018-04-27	-.000031	-.000031	.001032	.001157	-.008498	-.007751
P9709	2018-04-27	.002969	.002969	-.001483	-.002124	.003444	.003451
P9710	2018-04-27	.002969	.002969	-.001635	-.002164	.002932	.003213
P9705	2018-04-26	-.022031	-.024031	.003225	.003939	.003216	.003445
P9706	2018-04-26	-.016031	-.016031	-.001475	-.001249	.005351	.006039
P9707	2018-04-26	-.019031	-.018031	.006355	.005660	-.013106	-.011432
P9709	2018-04-26	-.016031	-.017031	-.001873	-.001544	.005474	.006264
P9710	2018-04-26	-.016031	-.017031	-.001845	-.001518	.005202	.005979
P9705	2018-04-25	.010969	.011969	.008656	.009590	-.004515	-.001408
P9706	2018-04-25	-.004031	-.003031	.007147	.007332	-.007251	-.006802
P9707	2018-04-25	-.007031	-.007031	.001052	-.000300	-.006164	-.005832
P9709	2018-04-25	-.003031	-.002031	.008194	.008676	-.007832	-.007457
P9710	2018-04-25	-.003031	-.002031	.007728	.008313	-.008122	-.007698
P9705	2018-04-24	.031969	.032969	.003355	.004056	.001311	.004430
P9706	2018-04-24	.019969	.020969	-.001735	-.001426	-.000787	-.000634
P9707	2018-04-24	.007969	.008969	.000489	.000855	-.006984	-.005956
P9709	2018-04-24	.020969	.021969	.000353	.001018	-.002123	-.002277
P9710	2018-04-24	.020969	.021969	.000289	.001036	-.002437	-.002509
P9705	2018-04-23	-.015031	-.014031	.006746	.006880	.000384	-.001545
P9706	2018-04-23	-.001031	-.002031	-.004078	-.004258	.007638	.005866
P9707	2018-04-23	.001969	.000969	-.011404	-.011790	.009807	.008412
P9709	2018-04-23	-.002031	-.003031	-.004215	-.004353	.008135	.006910
P9710	2018-04-23	-.002031	-.003031	-.004489	-.004604	.008179	.007122
P9705	2018-04-20	-.024031	-.026031	-.008624	-.009742	-.008053	-.010282
P9706	2018-04-20	-.015031	-.016031	-.006122	-.004557	.001038	.001174
P9707	2018-04-20	-.022031	-.021031	.005017	.004394	-.015408	-.014440
P9709	2018-04-20	-.015031	-.017031	-.007080	-.006206	.001351	.001480
P9710	2018-04-20	-.016031	-.017031	-.006849	-.005992	.001025	.001224
P9705	2018-04-19	-.000031	-.001031	-.002269	-.004186	-.006670	-.005659
P9706	2018-04-19	.009969	.008969	-.007640	-.007823	-.002983	-.003715
P9707	2018-04-19	.004969	.004969	-.004014	-.004893	-.001117	-.001406
P9709	2018-04-19	.008969	.007969	-.007988	-.008167	-.002989	-.003561
P9710	2018-04-19	.008969	.007969	-.007867	-.008102	-.002986	-.003518
P9705	2018-04-18	.022969	.022969	.002459	.003140	-.001912	-.001253
P9706	2018-04-18	.007969	.007969	.002240	.003038	.003779	.003310
P9707	2018-04-18	-.011031	-.011031	.007071	.006919	-.013546	-.012827
P9709	2018-04-18	.008969	.009969	.005110	.006018	.001332	.000241
P9710	2018-04-18	.008969	.008969	.005024	.006056	.001008	.000111
